game,round,col,row,n,category,clue,answer
6096,1,1,1,30,Us Open 50 Years,"In 1968, The First Open Men's Singles Winner Was This Athlete & Activist, Whose Name Is Now On The Open's Main Stadium",Arthur Ashe
6096,1,1,2,18,Us Open 50 Years,"In 1973 MS. Court & MR. Newcombe Got $25,000 Each As The U.S. Open Was The First Of This Quartet Of Titles To Equalize Men's & Women's Prizes",The Grand Slam
6096,1,1,3,19,Us Open 50 Years,"With A Powerful Style Of Play, She Won The Women's Singles In The 1990s, 2000s & 2010s, The Only Player To Do So",Serena Williams
6096,1,1,4,20,Us Open 50 Years,"The 1990 Open Heralded A New All-Time Great When, At 19, He Beat Agassi To Become The Youngest Men's Singles Champ",(Pete) Sampras
6096,1,1,5,21,Us Open 50 Years,"His Dominance Of The First Decade Of The 2000s Includes An Open Era Record Of Five Straight Titles, Losing Two Sets In The Five Finals",(Roger) Federer
6096,1,2,1,12,Exercising: Your Options,"Take A Run At This Exercise Machine, Also Defined As 'Any MonotonouS...Routine In Which There Is Little Or NO...Progress'",A Treadmill
6096,1,2,2,11,Exercising: Your Options,A 150-LB. Woman Can Burn 90 Calories In 10 MinS. Doing This Alliterative Exercise Using Leaping & Clapping Hands Repeatedly,Jumping Jacks
6096,1,2,3,13,Exercising: Your Options,"Sign Up For This 4-Letter Hindu Philosophy; 'The Onion' Had An Ali-Like 'Champion' Of It Boast, 'I Am The Serenest!'",Yoga
6096,1,2,4,14,Exercising: Your Options,"Tighten & Hold Your Pelvic Floor Muscles For 5 Seconds, 5 Times In These Not-Just-For-Pregnancy Exercises",Kegels
6096,1,2,5,15,Exercising: Your Options,"Dude, Time To Hit The Exercise Machine & Do This Pulldown, Named For The Widest Muscle In Your Back!",The Latissimus
6096,1,3,1,9,Famous Threesomes,"Moe, Larry & Curly",The Three Stooges
6096,1,3,2,17,Famous Threesomes,"In A Mother Goose Rhyme, 'Rub-A-Dub-Dub', They're The 'Three Men In A Tub'","The Butcher, The Baker And The Candlestick Maker"
6096,1,3,3,22,Famous Threesomes,"A Legendary Love Triangle Consisted Of King Arthur, Queen Guinevere & Him",Lancelot
6096,1,3,4,23,Famous Threesomes,"Their Names Are Melchior, Balthasar & Gaspar",The Three Wise Men (Or The Magi)
6096,1,3,5,24,Famous Threesomes,"The Three Tenors Were Pavarotti, Domingo & This Man, Who Is On An Extended Farewell Tour",Josã© Carreras
6096,1,4,1,6,'In' The Dictionary,They're What An Entomologist Studies,Insects
6096,1,4,2,7,'In' The Dictionary,"Depending On How You Pronounce It, It Can Mean To Hint At, Or Very Personal & Private",Intimate
6096,1,4,3,8,'In' The Dictionary,"In Her 'I Am Woman' Song, Helen Reddy Was Strong & She Was This, Meaning She Can't Be Defeated",Invincible
6096,1,4,4,10,'In' The Dictionary,Eggs Can Be Artificially Hatched In One Type Of This Apparatus; Premature Babies Are Kept In Another Type,An Incubator
6096,1,4,5,16,'In' The Dictionary,This 10-Letter Adjective Describes Certain Devices That Cause Or Are Designed To Cause Fires,Incendiary
6096,1,5,1,1,His Widow Lived On,"Zee James Was This Outlaw's Fiancee For 9 Years & His Widow For 18, Both Longer Than Her Marriage",Jesse James
6096,1,5,2,2,His Widow Lived On,In 2018 This Widow Of A Beatle Turned 85 & Voiced A Role In The Movie 'Isle Of Dogs',Yoko Ono
6096,1,5,3,3,His Widow Lived On,Valerie (Nee Fletcher) Spent 47 Years As This Poet's Widow & Cashed More Than A Few 'Cats' Checks,(T.S.) Eliot
6096,1,5,4,4,His Widow Lived On,This Composer Died In 1791; His Widow Constanze Lived Until 1842 & There Are Even Purported Photos Of Her,Mozart
6096,1,5,5,5,His Widow Lived On,In A 2012 Memoir The Widow Of This Argentine-Born Guerrilla Fighter Tells Of How He Declared His Love For Her In A Jeep,(Che) Guevara
6096,1,6,1,25,Our State Looks Up To You,Kansas Looks Up To It,Nebraska
6096,1,6,2,26,Our State Looks Up To You,It's Due North Of New Mexico,Colorado
6096,1,6,3,27,Our State Looks Up To You,Iowans Roll Their Eyes Upward At This State,Minnesota
6096,1,6,4,28,Our State Looks Up To You,It's Arkansas' Good Neighbor To The North,Missouri
6096,1,6,5,29,Our State Looks Up To You,It's The State Wyoming Looks Up To,Montana
6096,2,1,1,43,Back To Basics,This Word For 'Basic' Is Also A 3rd Grade Type Of School,Primary (Or Elementary)
6096,2,1,2,51,Back To Basics,"Rif, Short For 'Reading Is' This, Has Aided Children's Literacy Since 1966",Fundamental
6096,2,1,3,45,Back To Basics,"The Timeless Line 'When In Doubt, Go Basic' This Appeared In A 2017 Vogue Feature",Black
6096,2,1,4,44,Back To Basics,"'Watery' Term For The Dominant Trend, Perhaps Describing Big Media",Mainstream
6096,2,1,5,52,Back To Basics,"'R' You Ready? This 11-Letter Word Means 'Basic', Like Skills Everyone Should Have",Rudimentary
6096,2,2,2,47,History,"The First Capital Of California Following American Occupation In 1846 Was This City, Today The 'Capital' Of Silicon Valley",San Jose
6096,2,2,3,46,History,Last Name Of The Young Family Seen Here Circa 1920--Father & Daughter Would Combine To Serve 31 Years As Prime Minister Of India,Nehru
6096,2,2,4,32,History,2-Word Latin Term For The Period Of Relative Peace Ending With The Death Of Marcus Aurelius,Pax Romana
6096,2,2,5,50,History,3 Pretenders To The Russian Throne Known As 'False' This Name Plagued The Time Of Troubles In The Early 1600s,The False Dimitrys
6096,2,3,1,59,Business,This 3-Letter Memorandum Of Debt Is A Strong But Not Legally Binding Promise To Pay,I.O.U.
6096,2,3,2,57,Business,In 2007 Forbes Reported That This Tv Personality Was 'America's Sole Black Female Billionaire',Oprah Winfrey
6096,2,3,3,31,Business,"After A $26 Billion Merger In 2016, This Business Website Might Keep Nagging Microsoft To Update Its Resume",Linkedin
6096,2,3,4,48,Business,A Passage From The Book Of Hosea Was The Inspiration Israel's First Minister Of Transportation Had For Naming This Airline,El Al
6096,2,3,5,49,Business,"Corn Is Traded At This Sort Of Exchange As Well As, Of Course, Frozen Concentrated Orange Juice",Commodity
6096,2,4,1,33,The Movies,Bob Parr Stays Home Taking Care Of The Kids While Elastigirl Is Out Saving The World In This 2018 Sequel,Incredibles 2
6096,2,4,2,34,The Movies,"A Mute Sally Hawkins Falls In Love With An Amphibious Creature In This 2017 Movie, Oscar's Best Picture",The Shape Of Water
6096,2,4,3,35,The Movies,"Gloria Swanson Utters The Immortal Line 'I Am Big, It's The Pictures That Got Small' In This Classic Film",Sunset Boulevard
6096,2,4,4,36,The Movies,'The Disaster Artist' Chronicles Tommy Wiseau Making This So-Bad-It's-Good Film,The Room
6096,2,4,5,37,The Movies,A 12-Year-Old Jodie Foster Played A Prostitute Opposite Robert De Niro In This 1976 Film,Taxi Driver
6096,2,5,1,38,Literature,"In This H.G. Wells Classic, The Narrator Is 'Drawn On By ThE...Earth's Fate' & Sees It In 'Strides Of A Thousand Years'",The Time Machine
6096,2,5,2,39,Literature,"Oddly, The Protagonist Of 'The Tin Drum' Stops Doing This At Age 3",Growing
6096,2,5,3,40,Literature,Nicholas Rubashov Is A Revolutionary Caught Up In This Leader's Purges In Arthur Koestler's 'Darkness At Noon',Stalin
6096,2,5,4,41,Literature,Booth Tarkington's Novel About This 'Magnificent' Family Documents Their Decline,The Ambersons
