game,round,n,name,score,double
6096,1,1,Rick,200,FALSE
6096,1,2,Caitlin,400,FALSE
6096,1,3,Rick,600,FALSE
6096,1,4,Rick,800,FALSE
6096,1,5,Rick,1000,FALSE
6096,1,6,Rick,200,FALSE
6096,1,6,Isaac,200,FALSE
6096,1,8,Rick,-600,FALSE
6096,1,9,Caitlin,200,FALSE
6096,1,10,Isaac,800,FALSE
6096,1,11,Rick,400,FALSE
6096,1,12,Caitlin,200,FALSE
6096,1,13,Caitlin,600,FALSE
6096,1,14,Caitlin,800,FALSE
6096,1,15,Caitlin,1000,FALSE
6096,1,16,Caitlin,1000,FALSE
6096,1,17,Isaac,400,FALSE
6096,1,18,Isaac,400,FALSE
6096,1,19,Isaac,600,FALSE
6096,1,20,Rick,800,FALSE
6096,1,21,Rick,1000,FALSE
6096,1,21,Caitlin,-1000,FALSE
6096,1,22,Rick,600,FALSE
6096,1,23,Rick,3000,TRUE
6096,1,25,Rick,200,FALSE
6096,1,27,Rick,600,FALSE
6096,1,29,Caitlin,1000,FALSE
6096,1,30,Rick,200,FALSE
6096,2,31,Isaac,2400,TRUE
6096,2,32,Caitlin,1600,FALSE
6096,2,33,Rick,400,FALSE
6096,2,34,Rick,800,FALSE
6096,2,35,Rick,1200,FALSE
6096,2,36,Caitlin,1600,FALSE
6096,2,37,Rick,2000,FALSE
6096,2,38,Isaac,400,FALSE
6096,2,39,Caitlin,-800,FALSE
6096,2,40,Isaac,1200,FALSE
6096,2,41,Rick,1600,FALSE
6096,2,43,Isaac,400,FALSE
6096,2,45,Caitlin,1200,FALSE
6096,2,46,Rick,-1200,FALSE
6096,2,46,Isaac,-1200,FALSE
6096,2,47,Isaac,-800,FALSE
6096,2,48,Caitlin,1600,FALSE
6096,2,49,Rick,2000,FALSE
6096,2,50,Caitlin,-2000,FALSE
6096,2,51,Isaac,800,FALSE
6096,2,52,Isaac,2000,FALSE
6096,2,53,Isaac,-5000,TRUE
6096,2,54,Rick,2000,FALSE
6096,2,56,Rick,1200,FALSE
6096,2,57,Rick,800,FALSE
6096,2,58,Rick,400,FALSE
6096,2,59,Caitlin,400,FALSE
6096,3,60,Isaac,2600,FALSE
6096,3,60,Caitlin,1000,FALSE
6097,1,1,Becky,200,FALSE
6097,1,2,Lori,200,FALSE
6097,1,3,Lori,400,FALSE
6097,1,4,Rick,600,FALSE
6097,1,5,Rick,400,FALSE
6097,1,6,Rick,600,FALSE
6097,1,7,Lori,800,FALSE
6097,1,8,Lori,1000,FALSE
6097,1,9,Rick,800,FALSE
6097,1,10,Becky,1000,FALSE
6097,1,11,Rick,200,FALSE
6097,1,12,Lori,400,FALSE
6097,1,13,Becky,200,FALSE
6097,1,14,Rick,600,FALSE
6097,1,15,Rick,800,FALSE
6097,1,16,Rick,1000,FALSE
6097,1,17,Lori,400,FALSE
6097,1,18,Becky,600,FALSE
6097,1,19,Rick,200,FALSE
6097,1,20,Lori,400,FALSE
6097,1,21,Lori,600,FALSE
6097,1,22,Rick,800,FALSE
6097,1,23,Becky,-1000,FALSE
6097,1,24,Lori,800,FALSE
6097,1,26,Rick,600,FALSE
6097,1,26,Becky,600,FALSE
6097,1,27,Lori,800,FALSE
6097,1,28,Lori,3000,TRUE
6097,1,29,Rick,400,FALSE
6097,2,30,Rick,400,FALSE
6097,2,31,Lori,800,FALSE
6097,2,32,Lori,1200,FALSE
6097,2,33,Becky,1600,FALSE
6097,2,34,Rick,2000,FALSE
6097,2,34,Becky,-2000,FALSE
6097,2,35,Lori,400,FALSE
6097,2,36,Rick,800,FALSE
6097,2,37,Rick,1200,FALSE
6097,2,38,Lori,1600,FALSE
6097,2,39,Rick,2000,FALSE
6097,2,40,Rick,400,FALSE
